,smiles,amount,price,lead_time
244,N#Cc1cc(F)cc(F)c1N,2,7.8,30.0
245,COc1cc(F)c(Cl)cc1N,1,12.16,20.0
246,Cc1cc(N)ccc1Oc1ccc(N)cc1,1,38.29,22.0
247,O=C(O)c1cc2cc(F)cc(F)c2s1,1,22.93,31.0
248,Nc1c(F)cc(F)c(F)c1N,1,67.41,20.0
249,Nc1ccc(F)cc1C1CC1,2,26.49,31.0
250,Cc1cc(N)ccc1Oc1ccc(F)cc1,1,37.44,24.0
251,NNc1c(F)c(F)c(F)c(F)c1F,1,11.05,20.0
252,NC(=O)c1cc(F)ccc1N,2,6.5,30.0
253,Cc1cc(N)c(I)cc1F,2,54.08,24.0
254,Nc1ccc(F)c2ccccc12,2,39.78,20.0
255,Fc1ccc2c(c1)OCCN2,2,26.49,31.0
256,COc1c(N)ccc(F)c1F,1,22.93,31.0
257,Nc1ccc(Oc2cccc(F)c2)c(Cl)c1,2,28.77,25.9
258,Nc1ccc(Oc2ccc(F)cc2)c(F)c1,1,6.63,20.0
259,CNc1ccc(F)cc1,1,9.1,30.0
260,Nc1ccc(F)cc1Br,1,25.71,10.0
261,Nc1cc(Cl)c(F)cc1F,3,5.53,20.0
262,Cc1c(N)ccc(F)c1C,1,59.28,24.0
263,Nc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,1,30.79,17.0
264,Nc1cc(F)c(F)c(N)c1F,2,71.5,30.0
265,N#Cc1ccc(Oc2ccc(N)cc2)cc1,1,30.79,17.0
266,N#Cc1ccc(F)c(C(=O)O)c1,1,7.74,20.0
267,Cc1cc(Oc2ccc(N)cc2)ccc1N,1,38.29,22.0
268,Cc1c(F)ccc(N)c1Cl,1,22.93,31.0
269,Nc1ccc(Oc2ccc(Cl)cc2)cc1,2,17.25,11.2
270,CC(C)Oc1cc(F)ccc1N,3,5.53,20.0
271,O=C(O)CCC(=O)Nc1cc(NC(=O)CCC(=O)O)cc(C(=O)O)c1,1,30.79,17.0
272,Cc1cccc2sc(C(=O)O)c(Cl)c12,1,26.0,26.0
273,Nc1ccc2sc(C(=O)O)cc2c1,1,22.93,31.0
274,Cc1ccc(Oc2ccc(NN)cc2)cc1,1,81.9,22.0
275,Nc1ccc(F)c(C(=O)O)c1,1,25.71,10.0
276,N#Cc1cc(C(=O)O)ccc1Br,1,11.7,30.0
277,N#Cc1ccc(N)c(C(=O)O)c1,1,27.63,20.0
278,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,1,5.2,30.0
279,O=C(O)c1cc(NC(=O)C2CCCCC2)cc(NC(=O)C2CCCCC2)c1,1,30.79,17.0
280,Cc1cc(N)c(Br)cc1F,1,7.74,20.0
281,O=C(O)c1sc2cc(Br)ccc2c1Cl,1,26.0,26.0
282,Nc1ccc(Oc2cccc(F)c2)c(F)c1,1,22.93,31.0
283,O=C(O)c1cc2ccc(Cl)cc2s1,1,9.1,30.0
284,Nc1ccc(F)c(Cl)c1F,1,5.53,20.0
285,Cc1cc(F)cc(C)c1N,1,24.31,20.0
